instrument,filename,grb_name,grb_time_utc,ra,dec,lag_ms,lag_error,lag_significance,lag_type,lag_class,t90_s,duration_class,lag_observed_ms,lag_model_ms,torus_radius_units,n_diffusive_windings,transport_product_ms
Swift/BAT,sw00360585000bevshsp_uf.evt.gz,,2009-08-21T10:09:43.615999,43.9951926803954,40.5076691549745,-5641.069587192286,22.56615057698197,249.97925844500543,negative,significant_negative,,unknown,5641.069587192286,5641.069587192287,4.860993420212525,0.7736511311640021,5641.069587192286
Swift/BAT,sw00361128000bevshsp_uf.evt.gz,,2009-08-28T22:51:52,130.251873646219,-45.051615934863,-3263.2928175756283,16.222524423605147,201.15813866966727,negative,significant_negative,,unknown,3263.2928175756283,3263.2928175756288,3.69719474596762,0.588426819394131,3263.2928175756283
Swift/BAT,sw00361129000bevshsp_uf.evt.gz,,2009-08-28T23:09:28,130.183833001623,-45.0606506650047,-8703.011700639454,17.987732747444326,483.8303872329861,negative,significant_negative,,unknown,8703.011700639454,8703.011700639454,6.03780507831943,0.9609465236398855,8703.011700639454
Swift/BAT,sw00361246000bevshsp_uf.evt.gz,,2009-08-30T04:31:53.088,252.186797692224,22.418327826048,-196033.6273738699,46.46990043286477,4218.507583356681,negative,significant_negative,,unknown,196033.6273738699,196033.62737386997,28.655605702068343,4.5606812947764785,196033.6273738699
Swift/BAT,sw00361831000bevshsp_uf.evt.gz,GRB090904B,2009-09-04T01:24:18.112980,264.185375,-25.2136944,232828.03298418137,156.17400511356988,1490.8244993452568,positive,significant_positive,64.0,long,232828.03298418137,232828.03298418142,31.229277672783624,4.970293910812876,232828.03298418137
Swift/BAT,sw00361958000bevshsp_uf.evt.gz,,2009-09-05T11:15:20,274.6581,-17.04638,-4032.090322922453,24.924275003586388,161.77362520443504,negative,significant_negative,,unknown,4032.090322922453,4032.0903229224527,4.10969347390673,0.6540780309647592,4032.090322922453
Swift/BAT,sw00362330000bevshsp_uf.evt.gz,,2009-09-11T03:23:49.759999,152.812121148611,45.5636650577821,-8775.574522802051,68.18474157393615,128.70290801478296,negative,significant_negative,,unknown,8775.574522802051,8775.574522802055,6.062923436963908,0.9649442345805094,8775.574522802051
Swift/BAT,sw00362817000bevshsp_uf.evt.gz,,2009-09-16T05:29:28.639999,138.305900571023,23.9807261963547,-5370.188286066484,22.03331666968856,243.7303637293201,negative,significant_negative,,unknown,5370.188286066484,5370.188286066485,4.742846412285971,0.7548474508409737,5370.188286066484
Swift/BAT,sw00373778000bevshsp_uf.evt.gz,,2009-10-25T13:29:12,309.471887022703,40.7539655196636,1725.5662753077263,23.22022356022792,74.31307759944707,positive,significant_positive,,unknown,1725.5662753077263,1725.5662753077263,2.688500532214703,0.4278881492071614,1725.5662753077263
Swift/BAT,sw00381434000bevshsp_uf.evt.gz,,2009-12-29T02:07:09.439999,74.8157170298384,-55.0421834227911,82685.53060025894,19.57693462280982,4223.6198972600605,positive,significant_positive,,unknown,82685.53060025894,82685.53060025895,18.61054380333713,2.9619600399293464,82685.53060025894
